Date,Open,High,Low,Close,Volume,DateTime
2025-06-30,288.55,290.25,284.1,286.25,42535,300620250000
2025-07-01,287.45,291.9,275.3,279,82823,010720250000
2025-07-02,280,282.45,276.35,277.45,34280,020720250000
2025-07-03,278.5,278.5,271,272.3,46626,030720250000
2025-07-04,272.3,276,269.6,273.95,46975,040720250000
2025-07-07,273.95,277.2,270.3,273.85,20692,070720250000
2025-07-08,277.15,277.15,272.2,275.2,22806,080720250000
2025-07-09,276.45,277.4,269.1,269.8,51864,090720250000
2025-07-10,270.8,271.9,266.85,269.15,30424,100720250000
2025-07-11,270.9,271.9,261.95,262.65,57985,110720250000
2025-07-14,262.6,266.9,260.1,263,27819,140720250000
2025-07-15,263,268.9,262.9,266.65,46490,150720250000
2025-07-16,268.65,274.9,265.05,270.8,64584,160720250000
2025-07-17,271.7,277.9,269.7,272.15,53643,170720250000
2025-07-18,271.6,273,265.25,267.45,67696,180720250000
2025-07-21,267.15,278.5,265.1,276.4,98190,210720250000
2025-07-22,277.15,281.6,271.25,273.1,43232,220720250000
2025-07-23,272.1,278.4,268.4,271.2,49825,230720250000
2025-07-24,270.55,276.8,268.1,270,52034,240720250000
2025-07-25,268.9,272,264.15,265.1,32471,250720250000
2025-07-28,265.1,276,262.5,272.8,78371,280720250000
2025-07-29,273.15,296.4,271.65,291.55,463118,290720250000
2025-07-30,292.8,309.25,291.65,302.85,684151,300720250000
2025-07-31,302,324,288.6,310.8,1037120,310720250000
2025-08-01,309.5,314.85,288,291.35,269120,010820250000
2025-08-04,291.95,331.8,291,319.35,1295922,040820250000
2025-08-05,321,337.8,311.5,314.45,699495,050820250000
2025-08-06,314.55,324.9,305.15,320.95,425990,060820250000
2025-08-07,320.2,324,310.2,318.2,244365,070820250000
2025-08-08,318.5,327.9,302.25,305.65,213511,080820250000
2025-08-11,302.4,314.5,302.4,311.1,198182,110820250000
2025-08-12,313,321.95,310.35,314.1,238380,120820250000
2025-08-13,314.1,322.5,311.3,314.65,226209,130820250000
2025-08-14,315.1,316.2,291,291.95,207262,140820250000
2025-08-18,299,299,275.15,279.85,234620,180820250000
2025-08-19,280.85,293.8,280.7,290.75,206658,190820250000
2025-08-20,292.7,348.9,291.5,348.9,1546732,200820250000
2025-08-21,357,368.8,335.3,348,2108530,210820250000
2025-08-22,344.9,351.05,339.3,341.35,292777,220820250000
2025-08-25,348.15,353.45,332.1,337.1,364967,250820250000
2025-08-26,336.7,336.7,321,322.7,282403,260820250000
2025-08-28,327.75,333,317,318.15,170047,280820250000
2025-08-29,319,320.65,305.2,308.1,191043,290820250000
2025-09-01,311.2,316.45,310,313.9,78673,010920250000
2025-09-02,315,334.65,301.85,309.75,600890,020920250000
2025-09-03,310,325.45,310,319.6,165456,030920250000
